Address En,District Id,Lat,Lgt
"So Kwun Wat Lee Uk Tsuen Refuse Collection Point (TM-46) at Lee Uk Tsuen, So Kwun Wat Road",Tuen Mun,22.376694,114.006398
"Castle Peak Road Yick Yuen Refuse Collection Point (TM-48) at Yick Yuen, Castle Peak Road",Tuen Mun,22.4297,113.9884
"Tai Lam Chung On Lok Tsuen Refuse Collection Point (TM-52) at On Lok Tsuen, Tai Lam Chung",Tuen Mun,22.362799,114.021343
"Tai Lam Chung Tsuen Refuse Collection Point (TM-53) at Tai Lam Chung Tsuen, Tai Lam Chung",Tuen Mun,22.367876,114.022336
Wong Uk Tsuen Refuse Collection Point (TM-54) at Wong Uk Tsuen,Tuen Mun,22.364002,114.022571
"Tin Sum San Tsuen (near playground) Refuse Collection Point (TM-57) at Tin Sum San Tsuen, near playground",Tuen Mun,22.431293,113.992412
Tsz Tin Tsuen (at side of playground) Refuse Collection Point (TM-59) at Tsz Tin Tsuen at side of playground,Tuen Mun,22.41429,113.974792
Tsz Tin Tsuen (near Vegetable Market Office) Refuse Collection Point (TM-60) at Tsz Tin Tsuen near Vegetable Market Office,Tuen Mun,22.413961,113.975197
Yip Wong Road Refuse Collection Point (TM-64) at Tsing Shan Kau Hui,Tuen Mun,22.389866,113.96867
Lung Kwu Tan Tsuen Bus Stop Refuse Collection Point (TM-80) at Lung Kwu Tan Tsuen Bus Stop,Tuen Mun,22.386547,113.921042
Po Tong Ha Tsuen Refuse Collection Point at Po Tong Ha Tsuen,Tuen Mun,22.415839,113.971227
Kwong Tin Street Refuse Collection Point at Kwong Tin Street,Tuen Mun,22.42712,113.993234
Sam Shing Street Rerfuse Collection Point (TM-81) at Sam Shing Street,Tuen Mun,22.380241,113.977726
Tuen Mun Bus-Bus Interchange (Kowloon Bound) at Tai Lam,Tuen Mun,22.362061,114.016375
"Outside Entrance of Hillwood, Tai Tong Road, Yuen Long",Yuen Long,22.422659,114.030295
Junction of Tai Tong Road and Ma Tong Road,Yuen Long,22.440619,114.029545
Open space opposite to Kam Tin Market Public Toilet,Yuen Long,22.440325,114.065571
Hung Shui Kiu Temporary Market,Yuen Long,22.433225,113.995954
At side of Lau Fau Shan Roundabout Public Toilet,Yuen Long,22.466512,113.983916
Castle Peak Road - Ping Shan (near lamppost VA5649),Yuen Long,22.43858,114.00527
At side of Tai San Wai RCP (YL-143),Yuen Long,22.470864,114.04432
At side of Ping Shan San Tsuen RCP,Yuen Long,22.441996,114.007851
Pin Hong Lane near oil station,Yuen Long,22.440452,114.011362
"Open Space near entrance road of Kiu Tau Wai, Ping Shan, Yuen Long",Yuen Long,22.442266,114.004744
"Open Space in front of Village Office, San Wai Tsuen, San Tin, Yuen Long",Yuen Long,22.472231,114.056249
Sik Kong Tsuen Public Toilet,Yuen Long,22.450057,113.993419
At side of Tze Tong Tsuen RCP (YL-165),Yuen Long,22.43834,114.06484
At side of Lok Kui Lau RCP (YL-92),Yuen Long,22.44299,114.011392
"Tan Kwai Tsuen RCP near Ying Yin Pri Sch, Hung Shui Kiu (YL-95)",Yuen Long,22.426848,113.997467
"Shek Po Road RCP near aqua privy, Hung Shui Kiu (YL-97)",Yuen Long,22.437639,113.994903
"Ha Yau Tin Tsuen RCP , Yau Tin West Road, Shap Pat Heung (YL-7)",Yuen Long,22.439027,114.037931
"Vicinity of pavilion at side of Bus Stop K66, Wong Nai Tun Tsuen, Yuen Long",Yuen Long,22.416194,114.021895
"RCP at Nam Bin Wai (YL-213), Yuen Long",Yuen Long,22.44752,114.03407
At side of San Wai (Ha Tsuen) RCP (YL－128),Yuen Long,22.450595,113.9906
"Yeung Hau Temple, Ping Shan",Yuen Long,22.446026,114.007914
"RCP YL-104, Hang Mei Tsuen, Ping Shan",Yuen Long,22.443762,114.008046
"RCP YL-94, Tong Fong Tsuen, Ping Shan",Yuen Long,22.443885,114.006697
"RCP YL-114, Tan Kwai Yuen",Yuen Long,22.428623,113.996446
"Outside San Sang Tsuen Public Toilet, Yuen Long",Yuen Long,22.439373,113.991597
At side of Wong Uk Tsuen RCP (YL-11),Yuen Long,22.446389,114.039444
At side of Tai Tong Tsuen (roundabout) RCP (YL-8),Yuen Long,22.41805,114.02545
"At side of Po Chu Yuen RCP (YL-9), Tai Kei Ling",Yuen Long,22.43219,114.03186
At side of Tin Lui Tsuen RCP (YL-20),Yuen Long,22.43243,114.024177
"At side of Shui Chiu San Tsuen inside RCP (YL-38), Shap Pak Heung",Yuen Long,22.425633,114.027442
"At side of Notice Board near Tai Shui Ha Public Toilet (YL-24), Tai Shui Ha Road East",Yuen Long,22.42916,114.03388
At side of Fung Chi Tsuen RCP,Yuen Long,22.447797,114.020611
"Kam Sheung Road RCP (YL-216), Pat Heung",Yuen Long,22.434266,114.065382
"Kam Sheung Road RCP (YL-57), Pat Heung",Yuen Long,22.42845,114.0844
At side of Shan Pui Tsuen Public Toilet (YL-214),Yuen Long,22.452261,114.035456
"Kam Sheung Road, at side of Wing Hing Wai bin site, Pat Heung",Yuen Long,22.43008,114.09412
Tai Shu Ha Road East behind Lamp post FB0599,Yuen Long,22.42565,114.03745
"Tai Shu Ha Road East Hop Shing Garage RCP (YL-10) at Tai Shu Ha Road East, beside Hop Shing Garage",Yuen Long,22.43481,114.0301
"Kam Tin Hang Tau Bar RCP (YL-19) at Hang Tau Bar, Kam Tin",Yuen Long,22.423912,114.076908
Shui Chiu Lo Wai RCP (YL-22) at Shui Chiu Lo Wai,Yuen Long,22.42541,114.03164
"Nam Hang Pai RCP 2 (YL-26) at Nam Hang Pai RCP 2, outside Tai Tong Garden",Yuen Long,22.422779,114.031237
Shui Chiu San Tsuen,Yuen Long,22.422266,114.02863
Shui Tau Tsuen RCP 2 (YL-28) at Shui Tau Tsuen RCP 2,Yuen Long,22.445774,114.062692
Hung Cho Tin Tsuen,Yuen Long,22.42634,114.030507
Lui Kung Tin RCP (YL-31) at Lui Kung Tin,Yuen Long,22.426925,114.104813
"Tin Lui Tsuen RCP (YL-32) at Tin Lui Tsuen, Tai Tong Road",Yuen Long,22.43157,114.02853
Sai Bin Wai RCP (YL-49) at Sai Bin Wai,Yuen Long,22.447335,114.031154
"Sheung Tsuen Ku Miu RCP 1 (YL-53) at Sheung Tsuen Ku Miu RCP 1, at side of A/P 54",Yuen Long,22.43274,114.10105
Ta Shek Wu RCP (YL-151) at Ta Shek Wu,Yuen Long,22.463396,114.107283
Lo Uk Tsuen RCP (YL-59) at Lo Uk Tsuen,Yuen Long,22.43924,114.093392
Sheung Che Tsuen RCP (YL-62) at Sheung Che Tsuen,Yuen Long,22.44858,114.096943
"Shui Kan Shek Tsuen RCP (YL-64) at Shui Kan Shek Tsuen, Fan Kam Road",Yuen Long,22.45225,114.09847
San Lung Wai RCP (YL-66) at San Lung Wai,Yuen Long,22.44628,114.09575
Wing Ning Lee (entrance) RCP (YL-68) at Wing Ning Lee (entrance),Yuen Long,22.44298,114.09274
Srithai Feed Co. RCP (YL-69) opposite to Srithai Feed Co.,Yuen Long,22.44197,114.09048
Ko Po Tsuen RCP (YL-70) at Ko Po Tsuen,Yuen Long,22.441432,114.056781
Ng Ka Tsuen (inside) RCP (YL-71) at Ng Ka Tsuen (inside),Yuen Long,22.43807,114.06995
Ng Ka Tsuen (outside) RCP (YL-72) at Ng Ka Tsuen (outside),Yuen Long,22.43538,114.07
Kam Chin Wai RCP (YL-73) at Kam Chin Wai,Yuen Long,22.43363,114.07292
Yuen Kong Tsuen RCP (YL-74) at Yuen Kong Tsuen,Yuen Long,22.425115,114.077402
Wang Chau Tung Tau Wai Refuse Collection PointWang Chau Tung Tau Wai Refuse Collection Point (YL-76),Yuen Long,22.45363,114.02864
Lin Fa Tei Tsuen RCP (YL-79) at Lin Fa Tei Tsuen,Yuen Long,22.429097,114.087394
Kam Sheung Road (Opposite to the lamp post U8464),Yuen Long,22.43019,114.09908
Pat Heung Police Station RCp (YL-85) opposite to Pat Heung Police Station,Yuen Long,22.44088,114.08984
San Hing Tsuen RCP (YL-90) at San Hing Tsuen,Yuen Long,22.46441,113.98649
Tan Kwai Tsuen RCP (YL-91) at Tan Kwai Tsuen,Yuen Long,22.431953,113.998012
Hung Shui Kiu Station,Yuen Long,22.433572,113.997126
Shing Uk Tsuen RCP (YL-98) at Shing Uk Tsuen,Yuen Long,22.46397,114.01938
"At side of bin site at Lo Uk Tsuen, Ping Ha Road",Yuen Long,22.451719,113.994916
Hang Tau Tsuen RCP (YL-186) at Hang Tau Tsuen (Near V6298),Yuen Long,22.44648,114.00901
Hop Shing Wai RCP (YL-111) at Hop Shing Wai,Yuen Long,22.49842,114.059779
Sha Chau Lane RCP (YL-112) at Sha Chau Lane,Yuen Long,22.444987,113.99604
Chiu Kiu Fa Pau Wui RCP (YL-113) at Chiu Kiu Fa Pau Wui,Yuen Long,22.431118,113.99929
"Wing Ning Tsuen RCP 2 (YL-118) at Wing Ning Tsuen RCP 2, beside A/P 107(YL-108)",Yuen Long,22.449471,114.014622
Shui Bin Wai RCP (YL-119) at Shui Bin Wai,Yuen Long,22.444508,114.01905
Koon Chun RCP (YL-121) at Koon Chun,Yuen Long,22.456993,114.051266
Ha Pak Nai Tsuen RCP (YL-124) at Ha Pak Nai Tsuen,Yuen Long,22.430517,113.945271
Ha Wan Tsuen RCP (YL-125) at Ha Wan Tsuen,Yuen Long,22.514267,114.073175
Shek Kong Wai RCP (YL-127) at Shek Kong Wai,Yuen Long,22.44802,113.992289
Hang Hau Tsuen RCP (YL-134) at Hang Hau Tsuen,Yuen Long,22.463775,113.983315
Tin Sum Tsuen RCP (YL-138) at Tin Sum Tsuen,Yuen Long,22.434677,113.992601
Ngau Tam Mei West (near 500 wooden hut) RCP (YL-140) at Ngau Tam Mei West near 500 wooden hut,Yuen Long,22.473043,114.064494
Tung Chun Wai RCP (YL-142) at Tung Chun Wai,Yuen Long,22.501082,114.076895
Ngau Tam Mei East RCP (YL-147) at Ngau Tam Mei East,Yuen Long,22.477284,114.071048
"Ha Chuk Yuen Tsuen (Chi Lin Aged Home) RCP (YL-150) at Ha Chuk Yuen Tsuen, (Opposite to Chi Lin Aged Home)",Yuen Long,22.476118,114.056569
Mo Fan Heung RCP (YL-152) at Mo Fan Heung,Yuen Long,22.459893,114.053049
"Lo Ma Chau RCP (YL-155) at Lo Ma Chau, San Tin",Yuen Long,22.507284,114.080624
Hung To Pak Shek Au (1) RCP (YL-156) at Hung To Pak Shek Au (1),Yuen Long,22.504776,114.089379
"Ki Lun Shan (entrance) RCP (YL-159) at Ki Lun Shan (entrance) O/S 129, W/Hut129",Yuen Long,22.501347,114.082971
Mai Po Lung (entrance) RCP (YL-160) at Mai Po Lung (entrance),Yuen Long,22.495238,114.06898
Shek Wu Tong V.M.O RCP (YL-166) at Shek Wu Tong V.M.O,Yuen Long,22.427284,114.072847
Next to Bor Tei Public Toilet,Yuen Long,22.43893,114.06763
Ping On Bridge RCP (YL-172) at Ping On Bridge,Yuen Long,22.438556,114.06765
Castle Peak Road near San Tin Post Office RCP (YL-176) at Castle Peak Road near San Tin Post Office,Yuen Long,22.49908,114.07858
Shek Kong V.M.O. RCP (YL-177) at Shek Kong V.M.O.,Yuen Long,22.441593,114.085459
Choi Yuen Tsuen RCP (YL-178) at Choi Yuen Tsuen,Yuen Long,22.441713,114.087457
Wah Shing Tsuen RCP (YL-181) at Wah Shing Tsuen,Yuen Long,22.459727,114.056108
Sha Po Tsuen RCP (YL-182) at Sha Po Tsuen,Yuen Long,22.453701,114.054156
"Ha Pak Nai Tsuen RCP 1 (YL-184) at Ha Pak Nai Tsuen RCP 1, near A/P YL 142",Yuen Long,22.434672,113.949047
"Sheung Tsuen Ku Miu RCP 2, (YL-188) at Sheung Tsuen Ku Miu RCP 2, aside A/P 55, Chung Uk Tsuen",Yuen Long,22.43185,114.09961
"Tung Tau Tsuen RCP, Ping Ha Road",Yuen Long,22.453372,113.994361
Ha Tsuen Road V.M.O. RCP (YL-190) at Ha Tsuen Road V.M.O.,Yuen Long,22.446475,113.993783
Nam Mun Hau RCP (YL-192) at Nam Mun Hau,Yuen Long,22.446523,114.031812
Tseung Kong Wai RCP (YL-194) at Tseung Kong Wai RCP,Yuen Long,22.451182,113.988394
"Sheung Pak Nai (Ming Kee Store) RCP (YL-203) at Sheung Pak Nai near Ming Kee Store, Deep Bay Road",Yuen Long,22.450142,113.963606
Lok Ma Chau Tsuen RCP (YL-212) at Lok Ma Chau Tsuen,Yuen Long,22.512575,114.07948
Chung Hau Tsuen RCP (YL-13) at Chung Hau Tsuen,Yuen Long,22.453439,114.029845
Choi Uk Tsuen RCP (YL-14) at Choi Uk Tsuen,Yuen Long,22.447088,114.036527
Tai To Tsuen RCP (YL-39) at Tai To Tsuen,Yuen Long,22.434514,114.001747
Shek Po Tsuen Carpark RCP (YL-93) at Shek Po Tsuen Carpark,Yuen Long,22.44194,113.99583
Fung Kong Tsuen (entrance) RCP(YL-131) at Fung Kong Tsuen (entrance),Yuen Long,22.459911,113.989883
Ngau Tam Mei Entrance RCP (YL-145) at Ngau Tam Mei Entrance,Yuen Long,22.480206,114.057665
Wai Chai Tsuen RCP (YL-146) at Wai Chai Tsuen,Yuen Long,22.479721,114.058681
Long Ha RCP (YL-161) at Long Ha,Yuen Long,22.468591,114.055247
Ha Mei San Tsuen (near carpark) RCP (YL-208) at Ha Mei San Tsuen (near carpark),Yuen Long,22.453265,114.01049
Shan Pui Tsuen RCP (YL-214) at Shan Pui Tsuen,Yuen Long,22.452072,114.035417
Chui Tung Lane RCP (YL-215) at Chui Tung Lane,Yuen Long,22.452281,114.032331
"Entrance of Tai Tseng Wai, Yuen Long",Yuen Long,22.462558,114.022408
"Pat Heung, Shui Mei Tsuen Bin Site",Yuen Long,22.446976,114.062529
"Shan Ha Tsuen, Yuen Long (near mini bus station at Shan Ha Tsuen)",Yuen Long,22.432318,114.016795
Entrance of Tan Kwai Tsuen (near Tan Kwai Tsuen Public Toilet YL-88),Yuen Long,22.426005,113.997057
RCP at Tsz Tong Tsuen (near toilet),North,22.498136,114.152937
Fanling Lau RCP,North,22.497632,114.140555
Sheung Shui Po Wan Road,North,22.50838,114.12188
"Beside RCP N-134 at Tung Hing Road, Sheung Shui Wai",North,22.507056,114.124721
RCP at Tai Tau Leng (N-20),North,22.50212,114.12314
Beside Sheung Shui Wai Rural Committee Office Sheung Shui Wai,North,22.509455,114.123406
Outside Che Ping Street Public Toilet-cum-bathhouse,North,22.545317,114.224794
Sha Tau Kok Bus Terminus,North,22.545525,114.223808
"Beside RCP N-11 at Ming Tak Tong, Tai Yuen Tsuen, Sheung Shui Wai",North,22.508868,114.125416
"San Uk Tsuen, Lung Yeuk Tau, Fanling",North,22.503101,114.148367
Sze Tau Leng Tsuen,North,22.507777,114.179891
"Sheung Wo Hang Tsuen, Sha Tau Kok",North,22.524626,114.194376
"At side of RCP, N-15 of Sheung Shui Wai Playground, Sheung Shui",North,22.50969,114.124765
"At side of RCP, N-112 at Ho Sheung Heung Old Village, Shweung Shui",North,22.510773,114.110021
"At side of Refuse Collection Point (RCP), N-68 at Hang Tau Road, Sheung Shui",North,22.498911,114.103421
Beside RCP N-34 at Hung Leng,North,22.514394,114.168003
Beside bus stop at the Ko Po North Village,North,22.511841,114.164128
Beside RCP N-50 of Wing Ling Wai,North,22.501543,114.150403
"Beside RCP N-44 of Lung Yeuks Tau, San Wai",North,22.507609,114.148209
"Beside RCP N-184 at the San Uk Tsai Tsuen, Fanling",North,22.51039,114.177654
"Beside AP N-23 at the Liu Pok Tsuen, Sheung Shui",North,22.527199,114.104026
"So Kwun Po Tsuen RCP(N-159), Sheung Shui",North,22.500663,114.130884
Fanling Wai South (car park) RCP(N-194),North,22.496526,114.134276
Shung Him Tong Village RCP (N-126),North,22.496874,114.147839
Tai Long Village (Ha Wo Hang) RCP (N-165),North,22.530101,114.198857
Lin Ma Hang Village RCP (N-60),North,22.552432,114.182034
Nam Chung School RCP (N-59),North,22.524647,114.208479
Ta Kwu Ling San Tsuen RCP (N-55),North,22.540536,114.148125
Heung Yuen RCP (N-109),North,22.556711,114.164436
Ying Kong Tsuen RCP (N-25),North,22.504789,114.11172
Loi Tung Tsuen (Bus Stop) RCP (N-160),North,22.521687,114.181994
Fanling Wai North RCP (N-31),North,22.498814,114.135695
"Beside the bus stop at Man Uk Bin, Sha Tau Kok",North,22.524679,114.188289
"Beside the refuse collection point (RCP N-56) opposite to Baptist Garden, Ping Che Road, Ping Che.",North,22.52132,114.162772
"Beside the refuse collection point (RCP N-192), opposite to Yuen Ha Tsuen Bus Stop, Ping Che Road, Ping Che.",North,22.527492,114.158892
"At side of aqua privy (1) at Shun Yee Tsuen, Ma Tso Lung (N-27)",North,22.522647,114.098254
Chung Pak Long Tsuen (North) (N-1) at Chung Pak Long Tsuen (North),North,22.503386,114.118471
Fung Kong Tsuen (N-2) at Fung Kong Tsuen,North,22.510003,114.10485
Ho Sheung Heung Old Village (N-5) at Ho Sheung Heung Old Village,North,22.509358,114.108482
Kam Tsin Tsuen(North) (N-7) at Kam Tsin Tsuen(North),North,22.501153,114.112353
Kam Tsin Tsuen(South) (N-8) at Kam Tsin Tsuen(South),North,22.499087,114.112123
Kwu Tung Vegetable Station (N-9) at Kwu Tung Vegetable Station,North,22.504376,114.102827
On Po Tsuen,North,22.48788,114.118337
Ping Kong San Tsuen Playground (58K),North,22.490314,114.122932
"San Uk Ling, Man Kam ToRoad (N-14) at San Uk Ling, Man Kam ToRoad",North,22.535113,114.132004
Sheung Shui Ka Fu Close,North,22.50655,114.12332
"Sheung Shui Wai, Sheung Pak Tsuen (N-18) at Sheung Shui Wai, Sheung Pak Tsuen",North,22.51053,114.125402
"Sheung Shui Wai, Wai Loi Tsuen (N-19) at Sheung Shui Wai, Wai Loi Tsuen",North,22.510208,114.123342
Tin Kwong Po (N-21) at Tin Kwong Po,North,22.502747,114.114974
Tong Kung Leng (N-22) at Tong Kung Leng,North,22.483339,114.111057
Tsiu Keng Market (N-23) at Tsiu Keng Market,North,22.47654,114.111294
"Tung Fong Farm, Kwun Tung (N-24) at Tung Fong Farm, Kwun Tung",North,22.509492,114.100187
San Uk Tsuen (N-28) at San Uk Tsuen,North,22.503892,114.149403
Fanling Wai (Middle section) (N-30) at Fanling Wai (Middle section),North,22.497412,114.136059
"Hak Pai Chai, Lung Yeuk Tau Sha Tau Kok Road (N-32) at Hak Pai Chai, Lung Yeuk Tau Sha Tau Kok Road",North,22.504823,114.150696
Kwai Tei North (I) (N-35) at Kwai Tei North (I),North,22.513033,114.158837
"Kwai Tei Village, Sha Tau Kok Road (N-37) at Kwai Tei Village, Sha Tau Kok Road",North,22.50972,114.15942
Lau Shui Heung Road (N-38) at Lau Shui Heung Road,North,22.511358,114.163773
Ling Shan Tsuen near Hospital (N-39) at Ling Shan Tsuen near Hospital,North,22.501183,114.137118
Ma Wat Tsuen (N-41) at Ma Wat Tsuen,North,22.499323,114.149991
Po Kat Tsai Refuse Collection Point (N-43) at Po Kat Tsai,North,22.502469,114.163755
San Wai Barracks Bus Stop,North,22.507461,114.155352
"San Wai Barracks, Sha Tau Kok Road (N-47) at San Wai Barracks, Sha Tau Kok Road",North,22.506263,114.15305
Tong Hang Tsuen (N-48) at Tong Hang Tsuen,North,22.489462,114.149368
Tung Kok Wai (N-49) at Tung Kok Wai,North,22.500321,114.153992
Chow Tin Tsuen(1) (N-52) at Chow Tin Tsuen(1),North,22.537244,114.144675
Outside Chuk Yuen Tsuen Sewage Pumping Station,North,22.54531,114.15538
Ha Shan Kai Wat (N-54) at Ha Shan Kai Wat,North,22.520815,114.159713
Ping Che Vegetable Station (N-57) at Ping Che Vegetable Station,North,22.522856,114.162011
"The Carpark at Shun Hing Street, STK (N-58) at The Carpark at Shun Hing Street, STK",North,22.544864,114.224836
"Sha Tau Kok Rd J/OLin Ma Hang Rd,Tsoi Yuen Kok (N-62) at Sha Tau Kok Rd J/OLin Ma Hang Rd,Tsoi Yuen Kok",North,22.546453,114.225342
Shek Chung Au (N-63) at Shek Chung Au,North,22.536714,114.210696
Wu Kau Tang (N-65) at Wu Kau Tang,North,22.505813,114.241624
"Cheung Po Tau Tsuen, Ma Kam To Road (N-67) at Cheung Po Tau Tsuen, Ma Kam To Road",North,22.529556,114.127319
"Cheung Po Tau Tsuen, near Man Kam To Road (N-70) at Cheung Po Tau Tsuen, near Man Kam To Road",North,22.526164,114.12365
Ma Cho Lung San Tsuen near Community Sport (N-71) at Ma Cho Lung San Tsuen near Community Sport,North,22.520324,114.100663
Ma Cho Lung Shun Yee Tsuen (N-72) at Ma Cho Lung Shun Yee Tsuen,North,22.522881,114.098669
Pui Yau Kindergarden (N-73) at Pui Yau Kindergarden,North,22.50708,114.101792
Kam Tsin(Fung Shui Grave) (N-78) at Kam Tsin(Fung Shui Grave),North,22.497966,114.107056
Ta Kwu Ling Rural Centre (N-79) at Ta Kwu Ling Rural Centre,North,22.525023,114.16095
Nga Yiu (N-81) at Nga Yiu Tsuen,North,22.541906,114.137434
Muk Min Tau Tsuen (N-87) at Muk Min Tau Tsuen,North,22.543452,114.217233
Sha Ling Tsuen near (Sha Ling Cemetery Entrance) RCP (N-90) at Sha Ling Tsuen near Sha Ling Cemetery Entrance,North,22.528038,114.121573
Lin Tong Mei (N-94) at Lin Tong Mei,North,22.481965,114.112744
Wah Shan Tsuen (N-97) at Wah Shan Tsuen,North,22.515763,114.133725
Tsung Pak Long (N-98) at Tsung Pak Long,North,22.50466,114.11895
"Hung Leng Bridge, Ping Che Road RCP (N-99) at Hung Leng Bridge, Ping Che Road",North,22.516462,114.166298
